,index,air_id,timestamp,msisdn,account_number,balance_change,new_balance,transaction_reference,adc_id,timestamp_1,msisdn_1,imei,imsi,location,ccn_id,timestamp_2,msisdn_2,duration_sec,charge,transaction_id,timestamp_3,msisdn_3,account_number_1,amount,recipient_msisdn,service_fee,record_id,timestamp_4,calling_msisdn,called_number,call_duration_sec,service_type_1,location_1,operator_id,year,month,day,hour,minute,second,dayofweek,quarter,is_weekend,service_type_Mini Statement,service_type_PIN Reset,device_model_Nokia,device_model_Samsung S21,device_model_Tecno Camon,device_model_iPhone 12,is_device_swap_True,call_type_MT,destination_network_MTN,destination_network_TELKOM,destination_network_TIGO,destination_network_VODACOM,destination_network_VODAFONE,is_roaming_True,is_high_usage_True,transaction_type_Transfer,transaction_type_Withdrawal,transaction_status_Pending,transaction_status_Success,call_result_Dropped,call_result_Failed,is_high_frequency_True,is_short_duration_True,day_name_Thursday,day_name_Wednesday,isFraud,prediction
0,228476,AIR_8819610,2025-03-28 00:23:31+00:00,EF0FSE522YDJFTD07D7H,3KTBAH88AUQMHO0EQCCY,-0.508009355,-0.220477306,MMT_6961588,ADC_4868264,3/26/2025 10:47,EF0FSE522YDJFTD07D7H,1.48E+14,5.85E+14,Underwoodberg,CCN_244836,3/26/2025 3:31,EF0FSE522YDJFTD07D7H,-0.236580596,0.436441435,MMT_6690348,3/27/2025 3:46,EF0FSE522YDJFTD07D7H,ED7YRCKGI2LVXMVNAYYD,0.023658348,ZHRXK9DUTFOD0CA2XQ85,0.023658348,MSC_7485576,3/27/2025 11:06,EF0FSE522YDJFTD07D7H,Y0RUBQ0S73UMNUEFG76K,-0.373337078,SMS,West Alice,9367,0,0,2.252453292,-1.662757016,-0.368667055,0.102815291,2.252453292,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
1,853792,AIR_2845476,2025-03-27 10:10:31+00:00,PQPESMIUCPPN0NB85ODE,7J833DU2O8DZSUF9B0QM,0.564313355,1.492017923,MMT_5458279,ADC_8499690,3/27/2025 3:42,PQPESMIUCPPN0NB85ODE,6.70E+14,3.98E+14,South Petershire,CCN_9357408,3/27/2025 12:56,PQPESMIUCPPN0NB85ODE,-1.310386752,0.769009571,MMT_5913668,3/28/2025 1:07,PQPESMIUCPPN0NB85ODE,GD5559UMIBQ3VRHG1L29,-1.632046429,H6W4VYP9D7P4FNEMZG52,-1.632046429,MSC_6763298,3/28/2025 3:03,PQPESMIUCPPN0NB85ODE,56825B8J0DJSM8J434T3,0.997146745,SMS,East Tabitha,9134,0,0,0.606751396,-0.215071703,-1.116179215,0.102815291,0.606751396,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0
2,3623257,AIR_6474851,2025-03-27 01:11:40+00:00,UDZBMD5VBUFMQQSD6NR7,Y1VHYF61JYY5BSUJWX96,0.70948776,-1.489477514,MMT_3577643,ADC_9664730,3/26/2025 6:07,UDZBMD5VBUFMQQSD6NR7,4.98E+14,6.68E+14,North Laura,CCN_4005624,3/27/2025 6:26,UDZBMD5VBUFMQQSD6NR7,0.675577321,1.046149684,MMT_4965633,3/27/2025 0:45,UDZBMD5VBUFMQQSD6NR7,LZUKFBDI59GSVC2UN01D,0.542708654,L6HW8W4J3RSFYJQ88CNF,0.542708654,MSC_3295887,3/28/2025 3:13,UDZBMD5VBUFMQQSD6NR7,JH6M19R10VBBR7E6T7QY,-0.502185985,Voice,Ruizside,2924,0,0,0.606751396,-1.517988485,-1.058678279,0.622162533,0.606751396,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1
3,1014238,AIR_1852777,2025-03-27 23:37:46+00:00,3V3059AJ5FOFQEQ6J8VN,9IOKTZ8DGOL6RTUFHL0E,-1.311560904,0.454746982,MMT_9806130,ADC_9324620,3/27/2025 16:42,3V3059AJ5FOFQEQ6J8VN,9.55E+14,9.74E+14,South John,CCN_7035627,3/27/2025 3:39,3V3059AJ5FOFQEQ6J8VN,1.703198265,-0.568191477,MMT_8547610,3/26/2025 15:14,3V3059AJ5FOFQEQ6J8VN,88B9B4W381AR14XEFY8P,-0.255058873,ZHRXK9DUTFOD0CA2XQ85,-0.255058873,MSC_9596424,3/27/2025 3:46,3V3059AJ5FOFQEQ6J8VN,UCHD695G5V39QAAACBA4,-1.374844488,SMS,Roberttown,1566,0,0,0.606751396,1.666919204,0.43634604,0.968394028,0.606751396,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0
4,4505158,AIR_6986230,2025-03-27 12:32:06+00:00,L5676FIWF0JRJ7XFYAIR,K35U51TGOIQJ15KA99GU,0.867608752,-0.348437888,MMT_6318506,ADC_2807611,3/26/2025 12:28,L5676FIWF0JRJ7XFYAIR,3.22E+14,3.10E+14,Belindaside,CCN_4856469,3/27/2025 11:39,L5676FIWF0JRJ7XFYAIR,-0.640701192,-1.565895886,MMT_6565886,3/26/2025 22:08,L5676FIWF0JRJ7XFYAIR,UH077P089P4DXWGKALDQ,-1.407274477,RIKKL946QW70YIUC0ZON,-1.407274477,MSC_4962531,3/27/2025 8:22,L5676FIWF0JRJ7XFYAIR,08DHD033Q2ES1I1QG0LA,1.178706568,MMS,North Matthewton,1450,0,0,0.606751396,0.074465359,0.148841364,-1.339815939,0.606751396,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0
5,868830,AIR_8082898,2025-03-26 09:06:12+00:00,61KGB7WEW6FU8ITUBRLG,AXEN3ONW0RW8ATPW7X1N,0.297095784,1.534232438,MMT_3647509,ADC_9162202,3/26/2025 17:50,61KGB7WEW6FU8ITUBRLG,9.44E+14,8.33E+14,East Brandonhaven,CCN_9198605,3/26/2025 21:40,61KGB7WEW6FU8ITUBRLG,-0.525238165,0.484940954,MMT_7979884,3/26/2025 11:20,61KGB7WEW6FU8ITUBRLG,78S9NKLK5J97CAE08MXD,1.078703308,ZHRXK9DUTFOD0CA2XQ85,1.078703308,MSC_3200149,3/28/2025 1:26,61KGB7WEW6FU8ITUBRLG,FIZ7JAV6JUYLV1YSKTHZ,0.060063789,Voice,Lake Mark,3225,0,0,-1.0389505,-0.359840235,-1.346182956,-0.993584444,-1.0389505,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0
6,3399348,AIR_80339,2025-03-27 18:39:02+00:00,YM79GAJFRCNDY6VJHUVD,VFROA1RZ7UN0SE1V4VCG,1.673576997,-1.092009486,MMT_2468410,ADC_8263461,3/26/2025 15:09,YM79GAJFRCNDY6VJHUVD,4.04E+14,4.16E+14,North Kenneth,CCN_257463,3/26/2025 9:50,YM79GAJFRCNDY6VJHUVD,0.121354789,-1.323398287,MMT_8545619,3/27/2025 21:38,YM79GAJFRCNDY6VJHUVD,V92XRH41VSO4ZUB05MEW,1.506807425,OHF8JSIXNWJGZBQ7G472,1.506807425,MSC_1618795,3/27/2025 4:41,YM79GAJFRCNDY6VJHUVD,53BLJ9VO2DW3EVSM35AM,0.452467277,MMS,Lake Allison,6285,0,0,0.606751396,0.943076547,0.551347911,-1.570636935,0.606751396,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,0
7,1402837,AIR_6319643,2025-03-26 23:24:59+00:00,NS2K1V2ERRIDMTA2VCCI,H86GA2WP60MX4IHLBTO3,-0.829084732,-1.089306093,MMT_4927158,ADC_1701704,3/27/2025 17:45,NS2K1V2ERRIDMTA2VCCI,4.90E+14,8.63E+14,Lake James,CCN_3226531,3/27/2025 1:01,NS2K1V2ERRIDMTA2VCCI,0.456197569,0.762081068,MMT_4139979,3/27/2025 7:54,NS2K1V2ERRIDMTA2VCCI,N59PYYLE0F8ETB6VRTIB,0.861539023,ZHRXK9DUTFOD0CA2XQ85,0.861539023,MSC_7264948,3/26/2025 13:49,NS2K1V2ERRIDMTA2VCCI,1L98MOVZXDFUVG5GO1P2,1.424690844,Voice,Lake Devin,117,0,0,-1.0389505,1.666919204,-0.31116612,1.718562268,-1.0389505,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0
8,1606791,AIR_6748392,2025-03-27 11:18:48+00:00,26MDHXKMM6SSLKYZUCN5,ETTNICE0U6XB9GF9EOW1,0.52374738,0.087432178,MMT_3339802,ADC_7056264,3/27/2025 11:35,26MDHXKMM6SSLKYZUCN5,9.90E+14,6.52E+14,Markshire,CCN_7902115,3/26/2025 20:58,26MDHXKMM6SSLKYZUCN5,1.068151614,0.900651125,MMT_2141015,3/27/2025 4:53,26MDHXKMM6SSLKYZUCN5,ICZXC6O5DH9W9IZPET9A,-0.338397396,7TY0617W6TFDCNCR0HG7,-0.338397396,MSC_7362868,3/26/2025 20:19,26MDHXKMM6SSLKYZUCN5,A5MW2QU31FHL2M9ML22D,-1.386558025,MMS,Port Pamhaven,3933,0,0,0.606751396,-0.070303172,-0.656171732,1.083804527,0.606751396,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0
9,985121,AIR_3019310,2025-03-27 15:58:32+00:00,EZ5RGN55ES9RPQD4M3PM,A5OB4HKHBARLW67EBHON,-0.465371926,1.407103669,MMT_9448103,ADC_4980100,3/26/2025 8:15,EZ5RGN55ES9RPQD4M3PM,1.54E+14,2.46E+14,East Brianberg,CCN_8129382,3/27/2025 19:08,EZ5RGN55ES9RPQD4M3PM,1.55309633,1.053078187,MMT_488282,3/27/2025 4:54,EZ5RGN55ES9RPQD4M3PM,YIN1OP3ECKG9GOJ2GPBD,0.656477842,ZHRXK9DUTFOD0CA2XQ85,0.656477842,MSC_1281118,3/28/2025 1:48,EZ5RGN55ES9RPQD4M3PM,IXE527N8ST63ZNAG0Y53,0.686738016,MMS,West Suzanne,1678,0,0,0.606751396,0.508770953,1.643865683,0.16052054,0.606751396,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,0
